"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","191299","Успешный поиск в Google со скриншотом","","2026-03-19","passed","2026-03-19","","","",""
"","128503","Поиск в Google с использованием надежных проверок","","2026-03-19","passed","2026-03-19","","","",""
"","98966","Поиск в Google с использованием надежных проверок","","2026-03-19","passed","2026-03-19","","","",""
"","136362","Успешный поиск в Google со скриншотом","","2026-03-19","passed","2026-03-19","","","",""
"
    Тест проверяет, что на YouTube в русской локали:
    - левое меню успешно открывается по клику на кнопку «Гид»;
    - ссылка «История» присутствует в меню и видна без дополнительного скролла;
    - используется надёжный селектор a[title=""История""][href=""/feed/history""].
    ","3571","Проверка видимости кнопки 'История' на YouTube","test1","2026-03-19","passed","2026-03-19","","test_youtube","",""
"","61565","Поиск в Google с использованием надежных проверок","","2026-03-19","passed","2026-03-19","","","",""
"","2844","test_dszn136200_new_application_button","Forms","2026-03-20","passed","2026-03-20","","dszn136200","",""
"","307822","Успешный поиск в Google со скриншотом","","2026-03-19","passed","2026-03-19","","","",""
"","2470","Поиск в Google с использованием надежных проверок","test1","2026-03-19","passed","2026-03-19","","test_example","",""
